院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23拟录取情况,23拟录取情况,24复试名单,学费学制,,
齐鲁工业大学,齐鲁工业大学（山东省科学院）（Qilu University of Technology），位于山东省济南市，是山东省重点建设的应用研究型大学、山东省综合性自然科学研究机构，山东省属高校高水平大学“冲一流”建设高校，是国务院学位委员会批准的硕士学位授权单位和全国首批学士学位授权单位，博士学位授予单位  ，为首批山东特色名校工程学校和“山东省2011协同创新中心”牵头单位，是国家首批“卓越工程师教育培养计划2.0”、“新工科研究与实践项目”入选高校。,第四轮评级：计算机无评级，软件工程无评级。,计算机科学与技术学院,"081200计算机科学与技术
24改考","① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 872数据结构与操作系统",273/37/56,"高级程序设计
初复试占比5：5",49,,273/38/57,"一志愿复试65人,拟录取54人
一志愿均分307
拟录取均分312
最高分364,最低分277","拟录取：https://mp.weixin.qq.com/s/yw9341FyJUiBxaXCCa9sKg
一志愿复试：https://mp.weixin.qq.com/s/X3w2VOa5MLdhxWtbb5y-Xg","学制：硕士研究生学制为3年，最长修业年限为5年

学费：全日制硕士研究生（含学术学位和专业学位）收费标准为每生每年6000元,非全日制硕士研究生收费标准为每生每年7000元。",,
,,,,"085400电子信息-计算机技术
24改考","① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 872数据结构与操作系统",最低分281,,200,,324,"最高分：422
最低分：324
平均分：349",,,,
,,,数学与人工智能学部,"085400电子信息-人工智能
24改考",,最低分274,程序设计基础或数字图像处理或自动控制理论任选一门,21,,296,"最高分：357
最低分：296
平均分：322",,,,
广东工业大学,广东工业大学（Guangdong University of Technology）简称“广工”，是广东省重点建设的省属重点大学、广东省“211工程”、首批广东省高水平大学、首批广东省高水平理工科大学、国家“111计划”“2011计划”高校；入选教育部“卓越工程师教育培养计划”、国家大学生文化素质教育基地、国家知识产权示范高校、教育部深化创新创业教育改革示范高校，是粤港澳高校联盟、全国大学生创新创业实践联盟、金砖国家智库合作中方理事会、国际设计艺术院校联盟、国家集成电路产教融合发展联盟、大学通识教育联盟主要单位,第四轮评级：计算机B+，软件工程B。,计算机学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,复试：考察程序设计能力,45,297,297,"最高分：379
最低分：298
平均分：327","一志愿复试名单：https://yzw.gdut.edu.cn/fujianguangdonggongyedaxue2024nianshuoshiyanjiushengzhaoshengkaoshidiyizhiyuankaoshengfushimingdan.pdf
拟录取名单：https://yzw.gdut.edu.cn/info/1137/7590.htm","学制：3年
学费：学硕8000元/生/学年
专硕15000元/生/学年
非全日制30000元/生/学年",,
,,,,083500软件工程,,,,18,299,273,"最高分：379
最低分：298
平均分：327",,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,103,300/37/56,326/38/57,"最高分：396
最低分：326
平均分：351",,,,
,,,,085400电子信息-人工智能,,,,80,279/37/56,320/38/57,"最高分：400
最低分：321
平均分：347",,,,
,,,,085400电子信息-网络与信息安全,,,,26,290/37/56,311/38/57,"最高分：375
最低分：311
平均分：335",,,,
广州大学,"广州大学（Guangzhou University），简称广大（GU），是由广东省广州市人民政府举办的全日制普通高等学校，实行省市共建、以市为主的办学体制，是国家“111计划”建设高校 、广东省和广州市高水平大学重点建设高校
广州大学网络空间安全学院，由著名网络空间安全专家、中国工程院院士方滨兴教授任名誉院长，拥有网络空间安全一级学科博士、硕士学位授予权，为广东省重点学科建设点和广东省研究生联合培养基地建设点。师资主要来自哈尔滨工业大学、清华大学、中科院、北京邮电大学和国防科技大学等高校和科研院所。",第四轮评级：计算机无评级，软件无评级。,计算机科学与网络工程学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,C语言程序设计,38,280,273/38/57,"最高分：338
最低分：273
平均分：299","复试名单：https://yjsy.gzhu.edu.cn/info/1084/4720.htm
拟录取名单：https://yjsy.gzhu.edu.cn/info/1084/4782.htm

计算机科学与网络工程学院复试公示：https://jsj.gzhu.edu.cn/info/1252/3677.htm

网络空间安全学院复试公示：https://wyy.gzhu.edu.cn/info/1066/2006.htm",学费：8000元；学制：3年；住宿：提供住宿；,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 914数据结构与组成原理",,,77,,,"最高分：392
最低分：275
平均分：310",,,,
,,,,085405电子信息-软件工程,,,,41,,,"最高分：391
最低分：274
平均分：307",,,,
,,,,085410电子信息-人工智能,,,,18,,,"最高分：373
最低分：276
平均分：306",,,,
,,,,085412电子信息-网络与信息安全,,,,4,,,"最高分：358
最低分：274
平均分：307",,,,
,,,网络空间安全学院,083900网络空间安全,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,网络安全综合（含C语言）,32,300,273/38/57,"最高分：358
最低分：274
平均分：307",,,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 933数据结构与计算机网络",,C语言程序设计,20,,,"最高分：396
最低分：274
平均分：321",,,,
,,,,085410电子信息-人工智能,,,,20,,,"最高分：385
最低分：295
平均分：332",,,,
,,,,085410电子信息-大数据技术与工程,,,,30,,,"最高分：379
最低分：278
平均分：323",,,,
,,,,085412电子信息-网络与信息安全,,,,70,286,,"最高分：390
最低分：275
平均分：330",,,,
,,,数学与信息科学学院,085411电子信息-大数据技术与工程,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 834数据结构",,C语言程序设计,20,318,325/38/57,"最高分：398
最低分：328
平均分：362",,,,
浙江理工大学,浙江理工大学（Zhejiang Sci-Tech University），简称“浙理工”，坐落于浙江省杭州市，是一所以工为主，理、工、文、经、管、法、艺术、教育等多学科协调发展的省属重点建设大学，入选教育部“卓越工程师教育培养计划“、中国政府奖学金来华留学生接收院校。,第四轮评级：计算机C+，软件工程C+。,"计算机科学与技术学院
(人工智能学院)",081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,C语言程序设计,16【2】,281,273/38/57,"最高分：361
最低分：274
平均分：306",拟录取名单：https://scst.zstu.edu.cn/info/1122/5360.htm,"学制：3年
学费：8000/年",,
,,,,083500软件工程,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 991数据结构",,,21【2】,305,273/38/57,"最高分：379
最低分：277
平均分：315",,,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,100【2】联培20,288/37/56,324/38/57,"最高分：400
最低分：324
平均分：349",,,,
浙江工业大学,浙江工业大学（Zhejiang University of Technology），简称浙工大，主校区位于杭州市，是教育部与浙江省人民政府共建的浙江省首批重点建设高校、国家“2011计划”首批牵头高校。,第四轮评级：计算机B，软件工程B。,"计算机科学与技术学院
(软件学院)",081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,综合面试和C++上机,80【30】,318,303/38/57,"最高分：380
最低分：303
平均分：330",一志愿成绩：https://www.cs.zjut.edu.cn/jsp/news.jsp?neId=8248,"学制：3年
学费：招收全日制硕士研究生的专业，学费一般为8000元/年；招收非全日制研究生的专业，学费一般为2.5万元（全程）",,
,,,,083500软件工程,,,,32【10】,308,280/38/57,"最高分：376
最低分：283
平均分：318",,,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 201英语（一）
③ 301数学（一）
④ 408计算机学科专业基础",,,166【50】,282/36/57,273/38/57,"最高分：406
最低分：273
平均分：314",,,,
,,,,085405电子信息-软件工程,,,,72【20】,275/38/57,,"最高分：401
最低分：273
平均分：310",,,,
中国科学院大学信息工程研究所,,计算机A+，软件工程A-,信息工程研究所,计算机系统结构(081201),"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,初复试占比5：5,3,,284/40/40/60/70,,,,,
,,,,计算机软件与理论(081202),,,,2,,,,,,,
,,,,计算机应用技术(081203),,,,4,,,,,,,
,,,,网络空间安全(083900),,,,25,,,,,,,
