院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取名单,学费学制,,
"西安电子科技大学
211",西安电子科技大学，位于陕西西安。专业实力居于四大“电子科技”大学第二位，带有军工特色，也属于国内IT界“两电一邮”大学之一。由教育部与工信部、国防科技工业局、中国电子科技集团公司、陕西省、西安市共建，具备军工色彩。西电入选国家首批“211工程”、“985工程优势学科创新平台”、“2011计划”、“111计划”、“卓越工程师教育培养计划”、“世界一流学科建设高校”，''两电一邮''成员之一，是中国电子信息领域科学研究和人才培养的核心基地，中国雷达、信息论、密码学、电子对抗、微波天线等学科的发源地。,第四轮学科评估中，计算机A-，软件工程B+。,人工智能学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 833 数据结构、计算机组织与体系结构
",,机试内容:程序设计、数据结构,53,335/45/65,305/45/65,"一志愿进复试53人
拟录取30人
一志愿复试均分336",复试名单：https://sai.xidian.edu.cn/info/1106/8970.htm,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 834数据结构+计算机组成原理",,,7,295/40/60,310/45/65,一志愿复试均分：336,,,,
,,,网络与信息安全学院,083900网络空间安全,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 953953网络空间安全基础综合
（数据结构、计算机网络、密码学）",,"专业知识考核:以招生简章公布的复试科目为主,包括离散数学(占比35%)、计算机操作系统(占比35%)、C程序设计(占比30%)。考试时间120分钟,分值100
分,占复试总分50%。
机试内容:C语言程序设计",53,300/37/56,315/38/57,"一志愿进复试59人
拟录取46人
一志愿复试均分336",复试名单：https://ce.xidian.edu.cn/info/1324/9643.htm,,,
,,,,085400电子信息-网络与信息安全,,,,34,290/37/56,300/38/57,一志愿复试均分：330,,,,
,,,计算机科学与技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④833计算机专业基础综合
(数据结构、计算机组织与体系结构)",,"笔试:9031离散数学、操作系统、计算机网络
机试:程序设计、数据结构;
环境:windows系统;语言:C、C++",61,340/45/70,310/45/75,"一志愿进复试110
拟录取73
一志愿复试均分339",复试名单：https://cs.xidian.edu.cn/info/1003/16333.htm,,,
,,,,083500软件工程,,,,17,310/45/70,310/45/75,"一志愿进复试20+1专项
拟录取21+,1专项
一志愿复试均分340",,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 834数据结构+计算机组成原理",,,61,315/45/75,310/45/75,一志愿复试均分：340,,,,
,,,,085400电子信息-软件工程,,,,34,300/45/70,310/45/75,一志愿复试均分：345,,,,
西安理工大学,,第四轮评级：计算机C，软件工程无评级。,计算机科学与工程学院,电子信息(085404)-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302数学（二）
④ 863数据结构",,笔试操作习题、组成原理,85,311,338/38/57,"最高分：401
最低分：338
平均分：363",一志愿复试名单：https://jsj.xaut.edu.cn/info/1096/3889.htm,,,
,,,,电子信息(085405)-软件工程,,,,20,273,302/38/57,"最高分：386
最低分：313
平均分：337",,,,
"长安大学
211",长安大学（Chang’an University）座落于陕西省会西安，直属中华人民共和国教育部，是教育部和交通运输部、自然资源部、住房和城乡建设部、陕西省人民政府共建的国家“世界一流学科建设高校”，国家“211工程”重点建设大学,第四轮评级：计算机C+，软件C-。,信息工程学院,081200计算机科学与技术,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 846 数据结构与组成原理",,计算机网络,23,303,339,"最高分：391
最低分：339
平均分：356",https://yzb.chd.edu.cn/_upload/article/files/26/81/3a99d1dd41b381516654fa4cb601/27ac6f19-56ca-460e-8d1b-4c2ace4e9648.pdf,,,
,,,,083500软件工程,,,数据库原理,7,305,290,"最高分：341
最低分：296
平均分：323",,,,
,,,,083900网络空间安全,,,,5,290,320,"最高分：359
最低分：327
平均分：338",,,,
,,,,"085400电子信息-计算机技术
-软件工程","① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 846 数据结构与组成原理",,计算机网络,共招94,如右图,"363
352","最高分：416
最低分：363
平均分：384

最高分：410
最低分：356
平均分：370",,,,
"西北大学
211",西北大学简称“西大”，坐落于陕西省会西安，是中华人民共和国教育部与陕西省人民政府共建的综合性全国重点大学，位列首批国家“世界一流学科建设高校”、国家“211工程”重点建设高校。,第四轮评级：计算机B-，软件B+。,信息科学与技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 844数据结构+操作系统+计算机网络",,(数据库、计算机组成原理、面向对象程序设计),20,297/37/56,273/38/57,"最高分：348
最低分：273
平均分：304",拟录取名单：https://ist.nwu.edu.cn/info/1067/2522.htm,,,
,,,,083500软件工程,,,,18,286/37/56,276/38/57,"最高分：348
最低分：276
平均分：301",,,,
,,,,085400电子信息-软件工程,,,,65,282/37/56,287/38/57,"最高分：368
最低分：287
平均分：311",,,,
